"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\IFC_Viewer\.eslintrc.cjs", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"c:\Users\User\Desktop\IFC_Viewer\README.md", "Markdown", 0, 0, 0, 0, 0, 4, 0, 0, 5, 9
"c:\Users\User\Desktop\IFC_Viewer\dist\bim-components\AppManager\index.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\User\Desktop\IFC_Viewer\dist\bim-components\index.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\IFC_Viewer\dist\bundle.js", "JavaScript", 0, 0, 364, 0, 0, 0, 0, 171, 148, 683
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Panels\Help.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Panels\ProjectInformation.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Panels\Sections\Groupings.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Panels\Selection.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Panels\Settings.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Tables\CustomSelections.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Toolbars\Sections\Camera.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Toolbars\Sections\Import.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\components\Toolbars\Sections\Selection.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\User\Desktop\IFC_Viewer\dist\main.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\IFC_Viewer\index.html", "HTML", 0, 0, 0, 0, 0, 0, 163, 0, 22, 185
"c:\Users\User\Desktop\IFC_Viewer\package-lock.json", "JSON", 0, 0, 0, 0, 5833, 0, 0, 0, 1, 5834
"c:\Users\User\Desktop\IFC_Viewer\package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"c:\Users\User\Desktop\IFC_Viewer\plans.html", "HTML", 0, 0, 0, 0, 0, 0, 56, 0, 10, 66
"c:\Users\User\Desktop\IFC_Viewer\server.cjs", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 24, 18, 132
"c:\Users\User\Desktop\IFC_Viewer\src\bim-components\AppManager\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\User\Desktop\IFC_Viewer\src\bim-components\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Help.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\ProjectInformation.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Sections\Groupings.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 10, 80
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Selection.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 14, 17, 123
"c:\Users\User\Desktop\IFC_Viewer\src\components\Panels\Settings.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 5, 58
